Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Tgt,Teammate Rec,Teammate Yds,Teammate Y/R,Teammate TD,Teammate 1D,Teammate Lng,Teammate Y/Tgt,Teammate R/G,Teammate Y/G,Teammate Fmb,Total FP,FPPG
Chris Godwin,TB,2017,73,209,4.42,84,Adam Humphries,2016,TAM,21,WR,16,2,55,34,525,15.4,1,27,70,9.5,2.1,32.8,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5,5.78125
Kenny Golladay,DET,2017,76,218,4.5,96,Marvin Jones Jr.,2016,DET,24,WR,11,5,48,28,477,17,3,18,54,9.9,2.5,43.4,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.7,8.518181818
Chad Williams,ARI,2017,73,204,4.43,98,Larry Fitzgerald,2016,ARI,23,WR,6,1,7,3,31,10.3,0,1,15,4.4,0.5,5.2,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,1.016666667
Amara Darboh,SEA,2017,74,214,4.45,106,Jimmy Graham,2016,SEA,23,WR,16,0,13,8,71,8.9,0,2,16,5.5,0.5,4.4,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0.94375
Dede Westbrook,JAX,2017,72,178,4.34,110,Marqise Lee,2016,JAX,24,WR,7,5,51,27,339,12.6,1,15,29,6.6,3.9,48.4,1,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,9.271428571
Josh Reynolds,LAR,2017,75,194,4.52,117,Cooper Kupp,2016,LAR,22,WR,16,1,24,11,104,9.5,1,8,28,4.3,0.7,6.5,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,1.7125
Mack Hollins,PHI,2017,76,221,4.53,118,Zach Ertz,2016,PHI,24,WR,16,0,22,16,226,14.1,1,8,64,10.3,1,14.1,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6,2.7875
Josh Malone,CIN,2017,75,208,4.4,128,A.J. Green,2016,CIN,21,WR,11,7,17,6,63,10.5,1,3,25,3.7,0.5,5.7,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,1.663636364
Ryan Switzer,DAL,2017,69,181,4.51,133,Dez Bryant,2016,DAL,23,WR,16,0,7,6,41,6.8,0,4,12,5.9,0.4,2.6,1,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0.50625
Jehu Chesson,KC,2017,75,204,4.47,139,Kelvin Benjamin,2016,KAN,24,WR,12,1,4,2,18,9,0,2,10,4.5,0.2,1.5,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.316666667
